msa	msacode	year	quarter	index_msa
"Albany-Schenectady-Troy, NY"	10580	1999	2	104.11
"Albany-Schenectady-Troy, NY"	10580	1999	3	104.16
"Albany-Schenectady-Troy, NY"	10580	1999	4	103.11
"Albany-Schenectady-Troy, NY"	10580	2000	1	104.32
"Albany-Schenectady-Troy, NY"	10580	2000	2	105.44
"Albany-Schenectady-Troy, NY"	10580	2000	3	107.65
"Albany-Schenectady-Troy, NY"	10580	2000	4	108.04
"Albany-Schenectady-Troy, NY"	10580	2001	1	109.23
"Albany-Schenectady-Troy, NY"	10580	2001	2	111.57
"Albany-Schenectady-Troy, NY"	10580	2001	3	114.14
"Albany-Schenectady-Troy, NY"	10580	2001	4	115.03
"Albany-Schenectady-Troy, NY"	10580	2002	1	116.2
"Albany-Schenectady-Troy, NY"	10580	2002	2	118.98
"Albany-Schenectady-Troy, NY"	10580	2002	3	121.59
"Albany-Schenectady-Troy, NY"	10580	2002	4	124.43
"Albany-Schenectady-Troy, NY"	10580	2003	1	126.63
"Albany-Schenectady-Troy, NY"	10580	2003	2	129.23
"Albany-Schenectady-Troy, NY"	10580	2003	3	132.7
"Albany-Schenectady-Troy, NY"	10580	2003	4	139.02
"Albany-Schenectady-Troy, NY"	10580	2004	1	141.66
"Albany-Schenectady-Troy, NY"	10580	2004	2	146.93
"Albany-Schenectady-Troy, NY"	10580	2004	3	156
"Albany-Schenectady-Troy, NY"	10580	2004	4	159.54
"Albany-Schenectady-Troy, NY"	10580	2005	1	164.44
"Albany-Schenectady-Troy, NY"	10580	2005	2	172.25
"Albany-Schenectady-Troy, NY"	10580	2005	3	179.59
"Albany-Schenectady-Troy, NY"	10580	2005	4	182.06
"Albany-Schenectady-Troy, NY"	10580	2006	1	187.87
"Albany-Schenectady-Troy, NY"	10580	2006	2	190.82
"Albany-Schenectady-Troy, NY"	10580	2006	3	192.36
"Albany-Schenectady-Troy, NY"	10580	2006	4	195.71
"Albany-Schenectady-Troy, NY"	10580	2007	1	198.93
"Albany-Schenectady-Troy, NY"	10580	2007	2	200.2
"Albany-Schenectady-Troy, NY"	10580	2007	3	201.69
"Albany-Schenectady-Troy, NY"	10580	2007	4	204.15
"Albuquerque, NM"	10740	1975	1	-
"Albuquerque, NM"	10740	1975	2	-
"Albuquerque, NM"	10740	1975	3	-
"Albuquerque, NM"	10740	1975	4	-
"Albuquerque, NM"	10740	1976	1	-
"Albuquerque, NM"	10740	1976	2	-
"Albuquerque, NM"	10740	1976	3	-
"Albuquerque, NM"	10740	1976	4	-
"Albuquerque, NM"	10740	1977	1	-
"Albuquerque, NM"	10740	1977	2	-
"Albuquerque, NM"	10740	1977	3	37.38
"Albuquerque, NM"	10740	1977	4	38.68
"Albuquerque, NM"	10740	1978	1	39.84
"Albuquerque, NM"	10740	1978	2	41.69
"Albuquerque, NM"	10740	1978	3	43.69
"Albuquerque, NM"	10740	1978	4	46.05
"Albuquerque, NM"	10740	1979	1	46.98
"Albuquerque, NM"	10740	1979	2	49.26
"Albuquerque, NM"	10740	1979	3	50.53
"Albuquerque, NM"	10740	1979	4	49.96
"Albuquerque, NM"	10740	1980	1	53.16
"Albuquerque, NM"	10740	1980	2	53
"Albuquerque, NM"	10740	1980	3	54.51
"Albuquerque, NM"	10740	1980	4	54.95
"Albuquerque, NM"	10740	1981	1	55.45
"Albuquerque, NM"	10740	1981	2	60.35
"Albuquerque, NM"	10740	1981	3	57.4
"Albuquerque, NM"	10740	1981	4	57.05
"Albuquerque, NM"	10740	1982	1	56.24
"Albuquerque, NM"	10740	1982	2	60.97
"Albuquerque, NM"	10740	1982	3	61.41
"Albuquerque, NM"	10740	1982	4	60.01
"Albuquerque, NM"	10740	1983	1	61.44
"Albuquerque, NM"	10740	1983	2	62.18
"Albuquerque, NM"	10740	1983	3	64.75
"Albuquerque, NM"	10740	1983	4	65.38
"Albuquerque, NM"	10740	1984	1	68.41
"Albuquerque, NM"	10740	1984	2	64.74
"Albuquerque, NM"	10740	1984	3	67.81
"Albuquerque, NM"	10740	1984	4	68.9
"Albuquerque, NM"	10740	1985	1	68.32
"Albuquerque, NM"	10740	1985	2	69.63
"Albuquerque, NM"	10740	1985	3	70.99
"Albuquerque, NM"	10740	1985	4	70.5
"Albuquerque, NM"	10740	1986	1	72.18
"Albuquerque, NM"	10740	1986	2	72.66
"Albuquerque, NM"	10740	1986	3	73.07
"Albuquerque, NM"	10740	1986	4	74.36
"Albuquerque, NM"	10740	1987	1	75.63
"Albuquerque, NM"	10740	1987	2	75.53
"Albuquerque, NM"	10740	1987	3	75.7
"Albuquerque, NM"	10740	1987	4	75.05
"Albuquerque, NM"	10740	1988	1	75.57
"Albuquerque, NM"	10740	1988	2	75.64
"Albuquerque, NM"	10740	1988	3	75.51
"Albuquerque, NM"	10740	1988	4	74.61
"Albuquerque, NM"	10740	1989	1	75.84
"Albuquerque, NM"	10740	1989	2	75.59
"Albuquerque, NM"	10740	1989	3	76.83
"Albuquerque, NM"	10740	1989	4	76.58
"Albuquerque, NM"	10740	1990	1	75.49
"Albuquerque, NM"	10740	1990	2	75.67
"Albuquerque, NM"	10740	1990	3	76.35
"Albuquerque, NM"	10740	1990	4	75.81
"Albuquerque, NM"	10740	1991	1	76.16
"Albuquerque, NM"	10740	1991	2	76.76
"Albuquerque, NM"	10740	1991	3	77.37
"Albuquerque, NM"	10740	1991	4	78.19
